"artistid","artist"
1714,timeslip-rendezvous
1715,bikini atoll
1716,shane macgowan & the popes
1717,vangelis
1718,glay
1719,yoshiki & roger taylor
1720,gomez
1721,love psychedelico
1722,dune
1723,steve ahola
1724,breakaway
1725,k-os
1726,hot tuna
1727,reno & harrell
1729,jacques demierre
1731,doug quattlebaum
1732,georgia tom dorsey
1733,lightin hopkins
1735,"turner, ike & tina"
1742,mystic dream
1744,fruko y sus tesos
1745,jeanette
1747,kathleen battle
1748,buena vista social club
1751,engelbert
1752,son house
1757,africa & blues
1758,j-live
1759,little river band
1761,variado
1762,rozni wykonawcy
1763,ghetto hype 2k3
1764,joss stone
1765,gilbert o'sullivan
1766,brian rasmussen
1768,namie amuro
1769,chilly white and kenny peach
1770,melody club
1771,john entwistle band
1772,twinzer
1773,di leva
1774,hav
1775,buck-tick
1776,willeke alberti
1777,carl thomas
1778,outkast
1779,melgroove
1780,kimberly scott
1781,immature
1782,brutal thin
1783,bryan adams
1784,la'cryma christi
1785,nelories
1786,shinji hosoe
1787,roachford
1788,oleta adams
1789,sowelu
1790,pink freud
1791,toshi
1792,delta goodrem
1793,brian mcknight
1794,bubble gum brothers
1795,tevin campbell
1796,enigma
1797,lisa stansfield
1798,flipper's guitar
1799,"gary clail, on-u sound system featuring bim sherman"
1800,the river
1801,paul bley
1802,vilde bjerke
1804,rudolf koro ulehla
1808,bernd scholra
1809,the shadow
1810,alcymar monteiro
1812,washboard sam
1815,oh what a nite
1816,jean-pierre bertrand
1820,fred astaire
1821,albert ammons
1822,mojo deluxe
1823,vera martinova
1826,sabac
1828,gloria estefan
1829,sexteto mayor
1831,slim harpo & his king bees
1832,the mississippi mindsharks
1833,sabrina setlur
1834,natalie cole
1835,bad news reunion
1836,the gratest jazz
1840,susan james
1841,blues dimension
1843,ben webster
1844,coba
1846,epo
1847,diskoteka 22
1849,norah jones
1850,erin rocha
1851,moordgasten
1852,three  minute poetry
1853,leon russell
1856,g. love and special sause
1857,al jarreau
1859,cheb mami
1862,d12
1863,sheila murray
1864,cypress hill
1865,melissa etheridge
1866,gasaraki
1867,helions
1868,izumi sakai + yasuharu konishi
1869,perfect phase
1870,the living end
1871,max
1873,charly simon
1875,doa
1876,the jon spencer blues explosion
1877,tesla
1878,mike & the mechanics
1879,jean-philippe viret trio
1881,hape kerkeling
1882,angela
1883,ellegarden
1884,run4fun
1885,orbina
1886,beverly brown with dennis taylor
1887,zvuuk
1888,rabbit
1889,the clint boon experience!
1890,riho makise
1891,marine research
1892,jennifer lopez
1893,bluem of youth
1895,the features
1896,layo & bushwacka!
1898,surface of eceyon
1899,"masayuki ""jojo"" takayanagi"
1900,wang sheng-di
1901,blue film
1903,bog joe williams
1905,caterina valente
1910,peggy lee
1912,blueimpact
1913,maev
1914,greatest hits
1920,nelson gonçalves
1921,dr. john
1923,miki nervio & the bluesmakers
1924,billy ocean
1925,renato russo
1926,goombay dance band
1928,james brown
1930,nitro microphone underground
1931,acappella
1932,nanci griffith
1934,thomas stelzer
1935,robbie williams
1937,bruce willis
1939,thelonious monk
1941,ketil bjornstad
1945,dorothy moore
